iter	Passed	Remaining
863	5990	942
864	5998	936
865	6005	929
866	6009	921
867	6014	914
868	6019	907
869	6023	900
870	6028	892
871	6035	885
872	6039	878
873	6046	871
874	6052	864
875	6062	858
876	6071	851
877	6082	845
878	6089	838
879	6095	831
880	6101	824
881	6106	817
882	6112	809
883	6117	802
884	6123	795
885	6129	788
886	6134	781
887	6142	774
888	6151	768
889	6155	760
890	6166	754
891	6171	747
892	6181	740
893	6191	734
894	6199	727
895	6204	720
896	6213	713
897	6221	706
898	6235	700
899	6242	693
900	6245	686
901	6252	679
902	6264	672
903	6276	666
904	6283	659
905	6291	652
906	6297	645
907	6304	638
908	6313	632
909	6317	624
910	6331	618
911	6344	612
912	6348	604
913	6354	597
914	6358	590
915	6365	583
916	6371	576
917	6390	570
918	6396	563
919	6401	556
920	6406	549
921	6410	542
922	6414	535
923	6423	528
924	6428	521
925	6445	515
926	6452	508
927	6457	500
928	6462	493
929	6469	486
930	6475	479
931	6482	472
932	6486	465
933	6490	458
934	6498	451
935	6503	444
936	6515	438
937	6520	430
938	6529	424
939	6540	417
940	6546	410
941	6558	403
942	6569	397
943	6575	390
944	6583	383
945	6590	376
946	6597	369
947	6603	362
948	6611	355
949	6616	348
950	6624	341
951	6631	334
952	6637	327
953	6641	320
954	6646	313
955	6650	306
956	6654	299
957	6659	291
958	6664	284
959	6668	277
960	6674	270
961	6683	264
962	6692	257
963	6696	250
964	6703	243
965	6707	236
966	6711	229
967	6716	222
968	6721	215
969	6725	208
970	6731	201
971	6736	194
972	6740	187
973	6748	180
974	6752	173
975	6757	166
976	6760	159
977	6766	152
978	6772	145
979	6777	138
980	6792	131
981	6797	124
982	6808	117
983	6814	110
984	6823	103
985	6828	96
986	6839	90
987	6845	83
988	6850	76
989	6856	69
990	6864	62
991	6871	55
992	6877	48
993	6886	41
994	6896	34
995	6906	27
996	6933	20
997	6945	13
998	6968	6
999	6975	0
